Alpha_0.2,Alpha_0.4,Alpha_0.6,Alpha_0.8
0.56,0.6,0.71,0.72
0.56,0.58,0.7,0.71
0.57,0.59,0.71,0.67
0.43,0.57,0.71,0.71
0.56,0.57,0.68,0.67
0.53,0.57,0.69,0.66
0.55,0.62,0.71,0.71
0.56,0.59,0.64,0.69
0.58,0.59,0.66,0.73
0.55,0.6,0.7,0.71
0.57,0.61,0.7,0.7
0.57,0.6,0.7,0.72
0.56,0.59,0.69,0.73
0.52,0.59,0.67,0.74
0.56,0.59,0.7,0.63
0.55,0.57,0.71,0.71
0.55,0.58,0.67,0.73
0.56,0.59,0.7,0.72
0.56,0.6,0.71,0.65
0.56,0.59,0.67,0.73
0.55,0.59,0.7,0.71
0.55,0.59,0.71,0.75
0.57,0.59,0.69,0.69
0.52,0.59,0.7,0.72
0.56,0.6,0.71,0.7
0.56,0.56,0.63,0.73
0.56,0.61,0.7,0.71
0.55,0.61,0.7,0.7
0.56,0.57,0.69,0.66
0.56,0.6,0.71,0.65
0.56,0.58,0.69,0.66
0.56,0.59,0.65,0.72
0.57,0.6,0.63,0.78
0.56,0.6,0.59,0.71
0.56,0.6,0.71,0.68
0.57,0.6,0.67,0.77
0.55,0.55,0.67,0.64
0.56,0.61,0.7,0.69
0.56,0.59,0.7,0.68
0.56,0.59,0.7,0.66
0.56,0.59,0.68,0.65
0.56,0.59,0.7,0.69
0.56,0.57,0.64,0.7
0.53,0.6,0.71,0.72
0.57,0.59,0.64,0.72
0.57,0.6,0.64,0.68
0.56,0.57,0.72,0.7
0.56,0.59,0.71,0.65
0.56,0.59,0.71,0.73
0.56,0.59,0.69,0.73
0.56,0.57,0.67,0.7
0.54,0.62,0.71,0.68
0.56,0.59,0.7,0.69
0.57,0.6,0.68,0.74
0.56,0.58,0.7,0.71
0.52,0.59,0.65,0.72
0.56,0.59,0.7,0.7
0.56,0.58,0.69,0.75
0.56,0.56,0.69,0.7
0.56,0.54,0.67,0.66
0.51,0.59,0.7,0.73
0.56,0.59,0.66,0.71
0.56,0.57,0.72,0.71
0.54,0.56,0.69,0.71
0.57,0.6,0.7,0.69
0.57,0.6,0.71,0.71
0.55,0.58,0.7,0.69
0.56,0.59,0.69,0.68
0.53,0.56,0.68,0.67
0.57,0.59,0.69,0.72
0.53,0.61,0.7,0.67
0.56,0.56,0.7,0.75
0.56,0.63,0.7,0.7
0.56,0.57,0.71,0.72
0.56,0.6,0.7,0.73
0.56,0.6,0.7,0.68
0.52,0.57,0.7,0.75
0.56,0.6,0.65,0.74
0.57,0.6,0.7,0.71
0.57,0.6,0.7,0.75
0.56,0.59,0.7,0.7
0.56,0.53,0.7,0.72
0.54,0.57,0.7,0.6
0.55,0.6,0.71,0.76
0.57,0.59,0.71,0.68
0.55,0.59,0.64,0.68
0.56,0.62,0.71,0.69
0.56,0.59,0.71,0.7
0.56,0.56,0.69,0.66
0.56,0.59,0.7,0.7
0.57,0.57,0.71,0.66
0.56,0.59,0.72,0.69
0.57,0.6,0.61,0.75
0.55,0.6,0.71,0.71
0.55,0.6,0.66,0.7
0.56,0.64,0.62,0.63
0.56,0.61,0.64,0.71
0.57,0.58,0.72,0.7
0.56,0.57,0.69,0.72
0.55,0.58,0.65,0.7
0.57,0.62,0.71,0.69
0.54,0.6,0.65,0.62
0.55,0.56,0.69,0.61
0.56,0.59,0.7,0.69
0.56,0.56,0.65,0.77
0.55,0.59,0.71,0.73
0.57,0.59,0.72,0.76
0.57,0.6,0.71,0.7
0.54,0.59,0.59,0.66
0.57,0.58,0.69,0.7
0.56,0.58,0.7,0.69
0.53,0.57,0.69,0.72
0.56,0.57,0.7,0.66
0.56,0.59,0.71,0.71
0.54,0.63,0.71,0.74
0.56,0.59,0.63,0.68
0.56,0.57,0.7,0.56
0.53,0.57,0.65,0.73
0.53,0.62,0.7,0.74
0.52,0.57,0.71,0.74
0.56,0.56,0.7,0.73
0.56,0.57,0.69,0.71
0.56,0.58,0.65,0.69
0.56,0.6,0.65,0.74
0.57,0.6,0.71,0.69
