Alpha_0.2,Alpha_0.4,Alpha_0.6,Alpha_0.8
0.56,0.6,0.63,0.71
0.56,0.63,0.65,0.7
0.59,0.62,0.66,0.7
0.61,0.61,0.66,0.7
0.61,0.63,0.65,0.69
0.6,0.63,0.65,0.72
0.59,0.62,0.63,0.68
0.61,0.64,0.65,0.71
0.6,0.6,0.64,0.69
0.56,0.61,0.65,0.69
0.48,0.63,0.65,0.7
0.54,0.58,0.63,0.68
0.61,0.53,0.68,0.71
0.59,0.63,0.65,0.7
0.61,0.62,0.65,0.7
0.59,0.62,0.64,0.67
0.56,0.62,0.65,0.69
0.57,0.61,0.64,0.7
0.57,0.61,0.64,0.7
0.59,0.61,0.64,0.68
0.59,0.61,0.64,0.68
0.4,0.62,0.66,0.7
0.57,0.61,0.64,0.7
0.56,0.61,0.62,0.7
0.44,0.62,0.66,0.72
0.59,0.62,0.66,0.7
0.61,0.64,0.66,0.71
0.58,0.61,0.64,0.67
0.63,0.65,0.66,0.7
0.58,0.59,0.66,0.71
0.6,0.63,0.65,0.7
0.59,0.62,0.66,0.7
0.6,0.59,0.64,0.7
0.57,0.63,0.66,0.72
0.61,0.62,0.65,0.68
0.61,0.63,0.67,0.71
0.57,0.62,0.66,0.69
0.59,0.61,0.65,0.69
0.59,0.62,0.65,0.69
0.58,0.62,0.65,0.68
0.56,0.6,0.63,0.72
0.6,0.58,0.65,0.7
0.58,0.63,0.67,0.73
0.55,0.6,0.64,0.68
0.55,0.59,0.64,0.68
0.56,0.63,0.64,0.71
0.59,0.63,0.64,0.7
0.58,0.61,0.65,0.7
0.59,0.62,0.65,0.7
0.43,0.49,0.65,0.69
0.61,0.65,0.67,0.7
0.59,0.63,0.65,0.69
0.58,0.63,0.66,0.71
0.57,0.59,0.65,0.69
0.58,0.5,0.65,0.7
0.54,0.57,0.63,0.68
0.59,0.62,0.65,0.7
0.58,0.61,0.65,0.68
0.53,0.59,0.63,0.69
0.56,0.6,0.63,0.69
0.59,0.6,0.64,0.69
0.61,0.63,0.66,0.7
0.58,0.59,0.64,0.69
0.62,0.65,0.66,0.7
0.62,0.58,0.64,0.7
0.59,0.62,0.65,0.7
0.59,0.61,0.65,0.69
0.62,0.65,0.66,0.71
0.54,0.6,0.63,0.67
0.58,0.62,0.64,0.7
0.59,0.61,0.64,0.68
0.55,0.6,0.63,0.67
0.54,0.58,0.64,0.69
0.59,0.61,0.64,0.7
0.6,0.64,0.66,0.71
0.61,0.61,0.65,0.69
0.6,0.64,0.66,0.7
0.59,0.61,0.64,0.69
0.44,0.61,0.67,0.71
0.58,0.62,0.66,0.7
0.58,0.62,0.64,0.73
0.39,0.63,0.65,0.7
0.56,0.61,0.66,0.7
0.58,0.61,0.65,0.7
0.61,0.64,0.65,0.7
0.59,0.62,0.64,0.69
0.61,0.63,0.65,0.7
0.56,0.61,0.65,0.68
0.59,0.63,0.64,0.69
0.62,0.63,0.65,0.73
0.59,0.61,0.65,0.69
0.58,0.62,0.65,0.7
0.6,0.63,0.64,0.69
0.53,0.61,0.65,0.69
0.6,0.63,0.66,0.7
0.58,0.62,0.66,0.7
0.57,0.56,0.63,0.69
0.59,0.63,0.65,0.7
0.6,0.63,0.65,0.69
0.58,0.62,0.64,0.69
0.61,0.63,0.65,0.68
0.58,0.61,0.65,0.69
0.54,0.6,0.64,0.69
0.56,0.63,0.65,0.71
0.56,0.58,0.64,0.7
0.58,0.62,0.65,0.71
0.59,0.6,0.62,0.69
0.61,0.63,0.66,0.71
0.57,0.61,0.64,0.71
0.59,0.52,0.64,0.68
0.52,0.62,0.65,0.69
0.59,0.52,0.63,0.67
0.6,0.6,0.67,0.71
0.59,0.61,0.63,0.69
0.54,0.63,0.64,0.68
0.57,0.59,0.65,0.69
0.59,0.62,0.64,0.68
0.56,0.52,0.65,0.69
0.57,0.51,0.65,0.7
0.6,0.63,0.65,0.69
0.6,0.62,0.65,0.7
0.58,0.62,0.65,0.7
0.59,0.62,0.66,0.7
